"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
"ENSG00000111245.10",11.0318505266627,7.99758726343141,1.22701480810174,6.51792236786786,7.12878679174409e-11,2.64770270232167e-06,"MYL2"
"ENSG00000168955.3",608.217268001748,-11.0536903249189,1.96407754743211,-5.62792968096944,1.82385407458695e-08,0.00033869882092117,"TM4SF20"
"ENSG00000095587.8",84.6186656702537,2.97558482804437,0.535736681938473,5.55419281218101,2.78897502369802e-08,0.000345284404517228,"TLL2"
"ENSG00000116031.7",216.748691952394,4.34078014124375,0.85873346174451,5.05486316141156,4.30699463971499e-07,0.00377865019787386,"CD207"
"ENSG00000204941.9",21.5485952711738,6.599365904171,1.31382802860468,5.02300587328747,5.08689884207999e-07,0.00377865019787386,"PSG5"
"ENSG00000180745.4",419.800064291465,-4.88597326408377,0.98534954355253,-4.95861930018066,7.09959359801074e-07,0.00439476676372861,"CLRN3"
"ENSG00000171431.3",775.485923954436,-10.5083583832889,2.21227434942758,-4.75002496232347,2.03391540364761e-06,0.0107916645724108,"KRT20"
"ENSG00000090530.5",1056.24802965259,2.52269312094849,0.56206772393446,4.48823693929567,7.18150310329642e-06,0.0333410258449416,"LEPREL1"
"ENSG00000271225.1",186.690131997305,-4.60147559824502,1.03156275035996,-4.4606841383516,8.16984274725918e-06,0.0337151254973281,"RP11-460N11.3"
"ENSG00000138131.3",939.527268336002,2.73495861340441,0.61762558130693,4.42818221294701,9.50306048807061e-06,0.0350647801060834,"LOXL4"
"ENSG00000086548.8",41818.9225844651,-3.4045364717828,0.772179512567988,-4.40899611602042,1.03850887473928e-05,0.0350647801060834,"CEACAM6"
"ENSG00000134193.10",11168.0721510766,-6.32161375688596,1.45986497200296,-4.330272921209,1.48924649502101e-05,0.0430817568635969,"REG4"
"ENSG00000114455.9",589.77462299598,-3.74012861207032,0.864264891254009,-4.32752579668435,1.50793688707025e-05,0.0430817568635969,"HHLA2"
"ENSG00000238261.5",21.5030968021673,-3.99408786331947,0.940903683156398,-4.24494869647095,2.18643440151447e-05,0.0451146445036939,"RP11-435B5.5"
"ENSG00000079112.5",4982.37045406976,-5.1358375172794,1.20258388476427,-4.2706688342877,1.94887618809048e-05,0.0451146445036939,"CDH17"
"ENSG00000239028.1",66.9508367781171,-4.99127439038995,1.17065903351699,-4.26364487650579,2.01118996369904e-05,0.0451146445036939,"AL359955.1"
"ENSG00000137766.12",58.4088360700074,-4.07027877923921,0.947818322666233,-4.29436600021555,1.75193255999728e-05,0.0451146445036939,"UNC13C"
"ENSG00000269404.2",160.673737396617,3.32950513590177,0.784183173630791,4.2458257813491,2.17789810931435e-05,0.0451146445036939,"SPIB"
"ENSG00000169994.14",671.411325507155,-4.85697508434882,1.14754051416941,-4.23250859065685,2.31099082955018e-05,0.0451750054738544,"MYO7B"
"ENSG00000231826.1",586.166391354625,-5.21645938262564,1.24181696911607,-4.20066685538911,2.66129950195143e-05,0.0494216624009889,"AC016735.2"
